,0,1,2,3
148,61400,61400.01,61481.67,61390.41
149,61481.67,61481.68,61547.84,61481.26
150,61533.83,61533.84,61548.23,61513
151,61540.88,61540.89,61554.9,61481.26
152,61481.26,61481.27,61503.95,61460.58
153,61481.3,61481.31,61494.61,61438.44
154,61443.96,61443.97,61449.71,61398.67
155,61443.22,61443.23,61473.97,61425.47
156,61454.41,61454.42,61460.05,61423.26
157,61439.13,61439.14,61464.64,61439.14
158,61460.26,61460.27,61482.3,61453.68
159,61480.54,61480.55,61499.99,61469.12
160,61499.99,61500,61527.91,61500
161,61521,61521.01,61571.83,61521.01
162,61527,61527.01,61572.14,61527.01
163,61559.58,61561.15,61598.99,61550.58
164,61594.77,61594.78,61624.21,61590.04
165,61590.03,61590.04,61688.46,61586.12
166,61673.01,61676.01,61689.99,61649.01
167,61673,61675.01,61749.17,61665.1
168,61740.54,61740.55,61750.12,61718.33
169,61745.19,61745.2,61796.9,61737.5
170,61779.81,61779.82,62083.32,61775.44
171,62083.32,62083.33,62330.35,61963.46
172,62325.34,62335.07,62498.69,62204.36
173,62303.62,62314.76,62303.62,62027.34
174,62029.32,62037.01,62117.8,61981.98
175,62049.45,62064.35,62131.54,62021.68
176,62131.54,62131.55,62140.83,62054.32
177,62103.84,62103.85,62150,62081.09
178,62136.75,62136.76,62212.21,61901
179,61911.28,61937.14,61953.38,61499
180,61935.65,61941.56,61999.76,61795.41
181,61892.58,61904.1,61957.51,61884.97
182,61884.97,61884.98,61884.97,61750
183,61760.95,61760.96,61818.09,61729.46
184,61764.81,61766.34,61913.06,61742.12
185,61913.06,61913.07,61916.82,61831.39
186,61859.14,61859.15,61863.2,61775
187,61822.09,61822.11,61894.01,61822.11
188,61860.29,61860.3,61956.51,61834.15
189,61905.87,61918.28,61962.6,61905.6
190,61925.54,61939.65,61942.43,61863.17
191,61863.16,61863.17,61923.22,61863.17
192,61917.55,61917.56,61926.87,61859.57
193,61860,61869.54,61929.99,61864.8
194,61914.99,61915,61999.99,61902.42
195,61975.19,61975.2,62047.89,61968.17
196,62041.7,62046.37,62049.99,62022.38
197,62049.99,62051.02,62092.47,62033.24
198,62058.25,62058.26,62100,62040
199,62072.77,62072.78,62106.38,62028.19
200,62020.29,62033.4,62048.17,62009.21
201,62020.81,62020.82,62020.81,61938.7
202,61965.11,61968.33,61999.79,61950.94
203,61999.79,61999.8,62068.96,61994.3
204,61999.75,61999.76,62000.66,61976.4
205,61994.99,61997.4,61997.39,61949.14
206,61953.23,61953.24,61962.93,61902.63
207,61902.62,61902.63,61964.15,61902.63
208,61964.15,61964.16,61986.99,61954.18
209,61986.99,61992.39,62023.99,61989.63
210,62000.62,62000.63,62036,61974.26
211,62007.6,62007.61,62020.54,61975.91
212,61982.31,61983.88,61986.41,61969.1
213,61976.24,61976.25,61998.98,61969.5
214,61983.75,61983.76,61991.66,61916.36
215,61916.35,61916.36,61945.39,61890.02
216,61890.01,61890.02,61891.21,61839.17
217,61846.85,61846.86,61887.02,61846.86
218,61869.3,61869.31,61916.35,61864.02
219,61914.04,61914.05,61946.96,61897.84
220,61937.95,61943.94,61986.32,61943.94
221,61980.5,61980.51,62004.62,61944.33
222,61977.33,61979.89,61984.08,61858.99
223,61876.64,61876.65,61925.66,61867.83
224,61906.76,61906.77,61917.1,61881.82
225,61888.32,61888.33,61895.99,61856.13
226,61869.31,61876.28,61895.33,61840.03
227,61840.02,61840.03,61847.74,61770.49
228,61819.99,61820,61820.91,61779.62
229,61804.2,61804.21,61804.2,61740
230,61765.36,61765.37,61832.03,61749.01
231,61824.59,61828.72,61837.84,61802.97
232,61803,61803.01,61855.92,61803.01
233,61829.69,61829.7,61850,61784.84
234,61794.99,61795,61804.76,61758.22
235,61751,61762.6,61751,61736.01
236,61738.91,61738.92,61756.26,61721.6
237,61753.76,61753.77,61772.41,61734.24
238,61763.28,61763.29,61766.99,61700.86
239,61719.34,61719.35,61756.7,61705.78
240,61737.38,61738.94,61737.38,61691.9
241,61712.36,61712.37,61723,61614.01
242,61634.7,61634.71,61714.8,61621.59
243,61714.8,61714.81,61714.8,61664.49
244,61683.02,61683.03,61719.93,61683.03
245,61715.21,61715.22,61729.88,61706.71
246,61719.66,61719.73,61727.03,61683.53
